[Actions]
SessionID,Round,NumRegions,Step,Action,TimeTaken(s)
24,P1,10,0,Game Started (10 regions),0
24,P1,10,1,Colored Region 3 with Color 1,3.7
24,P1,10,2,Colored Region 2 with Color 2,1.4
24,P1,10,3,Colored Region 10 with Color 4,1.3
24,P1,10,4,Colored Region 7 with Color 3,1.5
24,P1,10,5,Colored Region 6 with Color 2,2.9
24,P1,10,6,Colored Region 5 with Color 1,2.6
24,P1,10,7,Colored Region 8 with Color 2,2.5
24,P1,10,8,Colored Region 9 with Color 3,1.5
24,P1,10,9,Colored Region 4 with Color 1,3.2
24,P1,10,10,Colored Region 1 with Color 4,1.5
24,P2,10,11,Game Started (10 regions),0
24,P2,10,12,Colored Region 8 with Color 1,2.2
24,P2,10,13,Colored Region 1 with Color 2,1.2
24,P2,10,14,Colored Region 7 with Color 3,1.3
24,P2,10,15,Colored Region 6 with Color 4,0.9
24,P2,10,16,Colored Region 2 with Color 3,2.5
24,P2,10,17,Colored Region 3 with Color 1,1
24,P2,10,18,Colored Region 4 with Color 2,2.4
24,P2,10,19,Colored Region 10 with Color 4,2.8
24,P2,10,20,Colored Region 9 with Color 4,1.8
24,P2,10,21,Colored Region 5 with Color 3,2.6
24,1,20,22,Game Started (20 regions),0
24,1,20,23,Colored Region 18 with Color 2,3.3
24,1,20,24,Colored Region 12 with Color 1,1.3
24,1,20,25,Colored Region 7 with Color 2,4.9
24,1,20,26,Colored Region 3 with Color 3,2
24,1,20,27,Colored Region 9 with Color 4,1.2
24,1,20,28,Colored Region 10 with Color 1,3
24,1,20,29,Colored Region 11 with Color 3,4.9
24,1,20,30,Colored Region 14 with Color 4,1.1
24,1,20,31,Colored Region 17 with Color 1,2.9
24,1,20,32,Colored Region 4 with Color 2,2.7
24,1,20,33,Colored Region 1 with Color 3,2.1
24,1,20,34,Colored Region 5 with Color 4,2.1
24,1,20,35,Colored Region 8 with Color 1,1.6
24,1,20,36,Colored Region 2 with Color 2,4.6
24,1,20,37,Colored Region 16 with Color 3,2.3
24,1,20,38,Colored Region 19 with Color 4,1.3
24,1,20,39,Colored Region 20 with Color 1,4
24,1,20,40,Colored Region 13 with Color 2,4.8
24,1,20,41,Colored Region 15 with Color 1,2.8
24,1,20,42,Colored Region 6 with Color 4,1.8
24,2,23,43,Game Started (23 regions),0
24,2,23,44,Colored Region 2 with Color 2,3.8
24,2,23,45,Colored Region 12 with Color 1,2.4
24,2,23,46,Colored Region 13 with Color 2,2.1
24,2,23,47,Colored Region 15 with Color 1,2.9
24,2,23,48,Colored Region 17 with Color 3,2.7
24,2,23,49,Colored Region 5 with Color 1,4.7
24,2,23,50,Colored Region 22 with Color 3,2.6
24,2,23,51,Colored Region 16 with Color 1,2.6
24,2,23,52,Colored Region 19 with Color 2,5.4
24,2,23,53,Colored Region 3 with Color 4,3.1
24,2,23,54,Colored Region 21 with Color 2,2.3
24,2,23,55,Colored Region 22 with Eraser,13.1
24,2,23,56,Colored Region 21 with Eraser,0.5
24,2,23,57,Colored Region 3 with Eraser,0.3
24,2,23,58,Colored Region 16 with Eraser,0.4
24,2,23,59,Colored Region 3 with Color 3,4.9
24,2,23,60,Colored Region 9 with Color 4,2.8
24,2,23,61,Colored Region 22 with Color 2,3.3
24,2,23,62,Colored Region 16 with Color 3,3.4
24,2,23,63,Colored Region 21 with Color 1,2.2
24,2,23,64,Colored Region 7 with Color 2,4.7
24,2,23,65,Colored Region 7 with Eraser,2.4
24,2,23,66,Colored Region 7 with Color 4,3.3
24,2,23,67,Colored Region 1 with Color 2,1.9
24,2,23,68,Colored Region 4 with Color 3,3.6
24,2,23,69,Colored Region 18 with Color 1,9.7
24,2,23,70,Colored Region 6 with Color 3,0.9
24,2,23,71,Colored Region 23 with Color 2,5.4
