[Actions]
SessionID,Round,NumRegions,Step,Action,TimeTaken(s)
郭lx,P1,10,0,"Game Started (10 regions)",0.0
郭lx,P1,10,1,"Colored Region 3 with Color 1",14.1
郭lx,P1,10,2,"Colored Region 7 with Color 2",1.7
郭lx,P1,10,3,"Colored Region 10 with Color 3",1.4
郭lx,P1,10,4,"Colored Region 2 with Color 4",1.2
郭lx,P1,10,5,"Colored Region 5 with Color 2",1.5
郭lx,P1,10,6,"Colored Region 8 with Color 4",1.4
郭lx,P1,10,7,"Colored Region 1 with Color 3",2.3
郭lx,P1,10,8,"Colored Region 6 with Color 1",7.2
郭lx,P1,10,9,"Colored Region 4 with Color 4",2.4
郭lx,P1,10,10,"Colored Region 9 with Color 1",3.2
郭lx,P2,10,11,"Game Started (10 regions)",0.0
郭lx,P2,10,12,"Colored Region 8 with Color 1",1.8
郭lx,P2,10,13,"Colored Region 2 with Color 1",1.2
郭lx,P2,10,14,"Colored Region 9 with Color 1",1.3
郭lx,P2,10,15,"Colored Region 6 with Color 4",2.2
郭lx,P2,10,16,"Colored Region 10 with Color 4",0.5
郭lx,P2,10,17,"Colored Region 4 with Color 4",1.5
郭lx,P2,10,18,"Colored Region 3 with Color 4",1.4
郭lx,P2,10,19,"Colored Region 3 with Eraser",2.0
郭lx,P2,10,20,"Colored Region 4 with Eraser",0.4
郭lx,P2,10,21,"Colored Region 3 with Color 3",1.7
郭lx,P2,10,22,"Colored Region 7 with Color 3",0.7
郭lx,P2,10,23,"Colored Region 5 with Color 3",1.8
郭lx,P2,10,24,"Colored Region 1 with Color 2",1.5
郭lx,P2,10,25,"Colored Region 4 with Color 2",0.4
郭lx,1,20,26,"Game Started (20 regions)",0.0
郭lx,1,20,27,"Colored Region 12 with Color 1",2.3
郭lx,1,20,28,"Colored Region 6 with Color 1",0.9
郭lx,1,20,29,"Colored Region 5 with Color 1",0.8
郭lx,1,20,30,"Colored Region 9 with Color 1",0.8
郭lx,1,20,31,"Colored Region 4 with Color 1",1.2
郭lx,1,20,32,"Colored Region 11 with Color 1",1.1
郭lx,1,20,33,"Colored Region 19 with Color 1",1.0
郭lx,1,20,34,"Colored Region 19 with Eraser",1.7
郭lx,1,20,35,"Colored Region 10 with Color 2",6.7
郭lx,1,20,36,"Colored Region 2 with Color 2",0.6
郭lx,1,20,37,"Colored Region 16 with Color 2",0.6
郭lx,1,20,38,"Colored Region 16 with Eraser",2.0
郭lx,1,20,39,"Colored Region 15 with Color 2",4.4
郭lx,1,20,40,"Colored Region 18 with Color 2",0.8
郭lx,1,20,41,"Colored Region 17 with Color 2",2.7
郭lx,1,20,42,"Colored Region 1 with Color 3",3.6
郭lx,1,20,43,"Colored Region 13 with Color 3",1.1
