Round,total_time_s,total_recolors,n_attempts,n_abandoned_attempts,completed_any,final_recolors,final_attempt_time_s,final_recolor_time_s,final_completed,participant,abandoned_time_s,time_per_final_recolor_s
1,111.9,17,1,0,1,17,111.9,111.9,1,5201314,0.0,6.582352941176471
2,38.7,4,1,0,1,4,38.7,38.7,1,5201314,0.0,9.675
3,92.30000000000001,18,3,2,1,14,77.4,76.00000000000001,1,5201314,14.900000000000006,5.42857142857143
4,66.80000000000001,10,1,0,1,10,66.80000000000001,66.8,1,5201314,0.0,6.68
5,103.5,17,2,1,1,11,59.7,49.8,1,5201314,43.8,4.527272727272727
6,60.5,13,1,0,1,13,60.5,60.5,1,5201314,0.0,4.653846153846154
7,41.4,7,1,0,1,7,41.4,41.4,1,5201314,0.0,5.914285714285714
8,29.700000000000003,6,3,2,1,4,19.6,14.9,1,5201314,10.100000000000001,3.725
9,31.300000000000004,8,1,0,1,8,31.300000000000004,31.3,1,5201314,0.0,3.9125
10,152.6,24,3,2,1,5,27.2,25.5,1,5201314,125.39999999999999,5.1
11,66.4,10,1,0,1,10,66.4,66.4,1,5201314,0.0,6.640000000000001
12,33.6,7,1,0,1,7,33.6,33.6,1,5201314,0.0,4.8
13,45.9,10,1,0,1,10,45.9,45.9,1,5201314,0.0,4.59
14,55.9,12,1,0,1,12,55.9,55.89999999999999,1,5201314,0.0,4.658333333333332
15,33.2,7,1,0,1,7,33.2,33.2,1,5201314,0.0,4.742857142857143
16,70.1,11,2,1,1,8,52.2,49.9,1,5201314,17.89999999999999,6.2375
17,123.5,24,1,0,1,24,123.5,123.5,1,5201314,0.0,5.145833333333333
18,38.0,8,1,0,1,8,38.0,38.0,1,5201314,0.0,4.75
19,18.3,6,1,0,1,6,18.3,18.3,1,5201314,0.0,3.0500000000000003
20,138.7,22,2,1,1,7,50.3,48.9,1,5201314,88.39999999999999,6.985714285714286
21,89.80000000000003,24,2,1,1,22,85.90000000000002,83.10000000000001,1,5201314,3.9000000000000057,3.777272727272728
22,42.0,6,1,0,1,6,42.0,42.0,1,5201314,0.0,7.0
23,31.4,9,1,0,1,9,31.4,31.4,1,5201314,0.0,3.488888888888889
24,24.0,6,1,0,1,6,24.0,24.0,1,5201314,0.0,4.0
25,44.0,12,1,0,1,12,44.0,44.0,1,5201314,0.0,3.6666666666666665
26,20.8,7,1,0,1,7,20.8,20.799999999999997,1,5201314,0.0,2.971428571428571
27,28.7,9,1,0,1,9,28.7,28.699999999999996,1,5201314,0.0,3.188888888888888
28,69.5,20,1,0,1,20,69.5,69.5,1,5201314,0.0,3.475
29,29.299999999999997,6,1,0,1,6,29.299999999999997,29.299999999999997,1,5201314,0.0,4.883333333333333
30,83.8,19,6,5,1,10,58.49999999999999,58.3,1,5201314,25.300000000000004,5.83
1,107.1,13,1,0,1,13,107.1,107.1,1,FlorenceYeoh,0.0,8.238461538461538
2,34.0,6,1,0,1,6,34.0,34.0,1,FlorenceYeoh,0.0,5.666666666666667
3,109.1,22,1,0,1,22,109.1,109.1,1,FlorenceYeoh,0.0,4.959090909090909
4,56.0,10,1,0,1,10,56.0,56.0,1,FlorenceYeoh,0.0,5.6
5,59.0,13,1,0,1,13,59.0,59.0,1,FlorenceYeoh,0.0,4.538461538461538
6,67.9,16,1,0,1,16,67.9,67.9,1,FlorenceYeoh,0.0,4.24375
7,40.599999999999994,6,1,0,1,6,40.599999999999994,40.599999999999994,1,FlorenceYeoh,0.0,6.766666666666666
8,60.9,12,1,0,1,12,60.9,60.9,1,FlorenceYeoh,0.0,5.075
9,61.8,14,1,0,1,14,61.8,61.8,1,FlorenceYeoh,0.0,4.414285714285714
10,53.8,8,1,0,1,8,53.8,53.8,1,FlorenceYeoh,0.0,6.725
11,73.9,7,1,0,1,7,73.9,73.89999999999999,1,FlorenceYeoh,0.0,10.557142857142855
12,53.5,12,1,0,1,12,53.5,53.5,1,FlorenceYeoh,0.0,4.458333333333333
13,60.900000000000006,13,1,0,1,13,60.900000000000006,60.900000000000006,1,FlorenceYeoh,0.0,4.684615384615385
14,31.200000000000003,10,1,0,1,10,31.200000000000003,31.2,1,FlorenceYeoh,0.0,3.12
15,43.599999999999994,8,1,0,1,8,43.599999999999994,43.599999999999994,1,FlorenceYeoh,0.0,5.449999999999999
16,79.49999999999999,21,1,0,1,21,79.49999999999999,79.49999999999999,1,FlorenceYeoh,0.0,3.785714285714285
17,48.7,10,1,0,1,10,48.7,48.69999999999999,1,FlorenceYeoh,0.0,4.869999999999999
18,56.3,15,1,0,1,15,56.3,56.29999999999998,1,FlorenceYeoh,0.0,3.753333333333332
19,26.499999999999996,5,1,0,1,5,26.499999999999996,26.499999999999996,1,FlorenceYeoh,0.0,5.299999999999999
20,16.4,6,1,0,1,6,16.4,16.4,1,FlorenceYeoh,0.0,2.733333333333333
21,12.4,4,1,0,1,4,12.4,12.4,1,FlorenceYeoh,0.0,3.1
22,18.0,6,1,0,1,6,18.0,18.0,1,FlorenceYeoh,0.0,3.0
23,42.4,12,1,0,1,12,42.4,42.4,1,FlorenceYeoh,0.0,3.533333333333333
24,42.2,10,1,0,1,10,42.2,42.2,1,FlorenceYeoh,0.0,4.220000000000001
25,42.4,13,1,0,1,13,42.4,42.4,1,FlorenceYeoh,0.0,3.2615384615384615
26,34.300000000000004,11,1,0,1,11,34.300000000000004,34.300000000000004,1,FlorenceYeoh,0.0,3.1181818181818186
