SessionID,Experiment,Round,Step,Action,ConflictRegions,TimeTaken(s),action_type,region_ui,color_ui,region_zero_based,color_zero_based,started_regions,started_conflicts,attempt_id,attempt_total_step,attempt_recolor_step,conflict_region_count,max_attempt_id,is_final_attempt
5201314,experiment2,1,0,"Game Started (45 regions, 5 conflicts)",11 12 15 16 35 38 43 45,0.0,game_started,,,,,45,5,1,1,,8,1,True
5201314,experiment2,1,1,Recolored Region 45 to Color 3,11 12 16 35 43,12.9,recolor,45,3,44,2,,,1,2,1,5,1,True
5201314,experiment2,1,2,Recolored Region 43 to Color 2,11 12 16,4.5,recolor,43,2,42,1,,,1,3,2,3,1,True
5201314,experiment2,1,3,Recolored Region 12 to Color 1,12 27,4.5,recolor,12,1,11,0,,,1,4,3,2,1,True
5201314,experiment2,1,4,Recolored Region 12 to Color 3,9 12,13.8,recolor,12,3,11,2,,,1,5,4,2,1,True
5201314,experiment2,1,5,Recolored Region 9 to Color 4,1 9,8.7,recolor,9,4,8,3,,,1,6,5,2,1,True
5201314,experiment2,1,6,Recolored Region 1 to Color 3,1 12,3.1,recolor,1,3,0,2,,,1,7,6,2,1,True
5201314,experiment2,1,7,Recolored Region 1 to Color 1,1 18 27,4.6,recolor,1,1,0,0,,,1,8,7,3,1,True
5201314,experiment2,1,8,Recolored Region 1 to Color 3,1 12,3.5,recolor,1,3,0,2,,,1,9,8,2,1,True
5201314,experiment2,1,9,Recolored Region 27 to Color 4,1 12 21 27,4.4,recolor,27,4,26,3,,,1,10,9,4,1,True
5201314,experiment2,1,10,Recolored Region 12 to Color 1,21 27,1.8,recolor,12,1,11,0,,,1,11,10,2,1,True
5201314,experiment2,1,11,Recolored Region 21 to Color 1,14 21,11.8,recolor,21,1,20,0,,,1,12,11,2,1,True
5201314,experiment2,1,12,Recolored Region 14 to Color 4,14 26,10.3,recolor,14,4,13,3,,,1,13,12,2,1,True
5201314,experiment2,1,13,Recolored Region 26 to Color 3,8 26,5.0,recolor,26,3,25,2,,,1,14,13,2,1,True
5201314,experiment2,1,14,Recolored Region 8 to Color 2,8 15 43,11.8,recolor,8,2,7,1,,,1,15,14,3,1,True
5201314,experiment2,1,15,Recolored Region 43 to Color 3,8 15 26 43,5.0,recolor,43,3,42,2,,,1,16,15,4,1,True
5201314,experiment2,1,16,Recolored Region 43 to Color 4,8 15,3.0,recolor,43,4,42,3,,,1,17,16,2,1,True
5201314,experiment2,1,17,Recolored Region 15 to Color 4,,3.2,recolor,15,4,14,3,,,1,18,17,0,1,True
5201314,experiment2,2,18,"Game Started (45 regions, 4 conflicts)",6 11 16 23 25 27 39,0.0,game_started,,,,,45,4,1,1,,7,1,True
5201314,experiment2,2,19,Recolored Region 27 to Color 2,6 11 16 23 39,5.6,recolor,27,2,26,1,,,1,2,1,5,1,True
5201314,experiment2,2,20,Recolored Region 6 to Color 4,6 11 23 31,19.2,recolor,6,4,5,3,,,1,3,2,4,1,True
5201314,experiment2,2,21,Recolored Region 31 to Color 3,11 23,5.9,recolor,31,3,30,2,,,1,4,3,2,1,True
5201314,experiment2,2,22,Recolored Region 23 to Color 4,,8.0,recolor,23,4,22,3,,,1,5,4,0,1,True
5201314,experiment2,3,23,"Game Started (45 regions, 4 conflicts)",8 12 14 25 38 43 44,0.0,game_started,,,,,45,4,1,1,,7,3,False
5201314,experiment2,3,24,Recolored Region 14 to Color 3,8 25 38 43 44,3.5,recolor,14,3,13,2,,,1,2,1,5,3,False
5201314,experiment2,3,25,Recolored Region 43 to Color 1,8 36 38 43 44,5.8,recolor,43,1,42,0,,,1,3,2,5,3,False
5201314,experiment2,3,26,Recolored Region 12 to Color 1,8 10 12 36 38 43 44,0.9,recolor,12,1,11,0,,,1,4,3,7,3,False
5201314,experiment2,3,27,Round Reset,8 12 14 25 38 43 44,2.1,round_reset,,,,,,,2,1,,7,3,False
5201314,experiment2,3,28,Recolored Region 14 to Color 1,8 14 25 38 41 43 44,2.6,recolor,14,1,13,0,,,2,2,1,7,3,False
5201314,experiment2,3,29,Round Reset,8 12 14 25 38 43 44,1.4,round_reset,,,,,,,3,1,,7,3,True
5201314,experiment2,3,30,Recolored Region 14 to Color 3,8 25 38 43 44,2.4,recolor,14,3,13,2,,,3,2,1,5,3,True
5201314,experiment2,3,31,Recolored Region 25 to Color 1,8 25 36 38 39 41 44,11.3,recolor,25,1,24,0,,,3,3,2,7,3,True
5201314,experiment2,3,32,Recolored Region 25 to Color 4,8 25 38 43 44,3.2,recolor,25,4,24,3,,,3,4,3,5,3,True
5201314,experiment2,3,33,Recolored Region 25 to Color 1,8 25 36 38 39 41 44,4.3,recolor,25,1,24,0,,,3,5,4,7,3,True
5201314,experiment2,3,34,Recolored Region 41 to Color 2,8 25 36 38 39 44,3.3,recolor,41,2,40,1,,,3,6,5,6,3,True
5201314,experiment2,3,35,Recolored Region 39 to Color 4,8 25 36 38 44,3.0,recolor,39,4,38,3,,,3,7,6,5,3,True
5201314,experiment2,3,36,Recolored Region 36 to Color 4,2 8 36 38 43 44,2.8,recolor,36,4,35,3,,,3,8,7,6,3,True
