Round,total_time_s,total_recolors,n_attempts,n_abandoned_attempts,completed_any,final_recolors,final_attempt_time_s,final_recolor_time_s,final_completed,participant,abandoned_time_s,time_per_final_recolor_s
1,194.1,23,1,0,1,23,194.1,194.09999999999997,1,Rex,0.0,8.439130434782607
2,29.5,6,1,0,1,6,29.5,29.5,1,Rex,0.0,4.916666666666667
3,50.2,6,1,0,1,6,50.2,50.2,1,Rex,0.0,8.366666666666667
4,53.0,11,1,0,1,11,53.0,53.0,1,Rex,0.0,4.818181818181818
5,21.0,5,1,0,1,5,21.0,21.0,1,Rex,0.0,4.2
6,26.0,6,1,0,1,6,26.0,26.0,1,Rex,0.0,4.333333333333333
7,22.9,5,1,0,1,5,22.9,22.9,1,Rex,0.0,4.58
8,119.20000000000002,23,1,0,1,23,119.20000000000002,119.2,1,Rex,0.0,5.182608695652174
9,52.99999999999999,9,1,0,1,9,52.99999999999999,53.0,1,Rex,0.0,5.888888888888889
10,59.2,14,1,0,1,14,59.2,59.20000000000001,1,Rex,0.0,4.2285714285714295
11,36.3,11,1,0,1,11,36.3,36.3,1,Rex,0.0,3.3
12,153.39999999999998,23,1,0,1,23,153.39999999999998,153.39999999999998,1,Rex,0.0,6.669565217391304
13,101.6,17,1,0,1,17,101.6,101.6,1,Rex,0.0,5.976470588235294
14,44.7,9,1,0,1,9,44.7,44.7,1,Rex,0.0,4.966666666666667
15,99.8,15,1,0,1,15,99.8,99.8,1,Rex,0.0,6.653333333333333
16,278.1,41,1,0,1,41,278.1,278.1,1,Rex,0.0,6.782926829268293
17,403.99999999999994,61,1,0,1,61,403.99999999999994,403.99999999999994,1,Rex,0.0,6.6229508196721305
18,87.39999999999999,9,1,0,1,9,87.39999999999999,87.4,1,Rex,0.0,9.711111111111112
19,33.9,6,1,0,1,6,33.9,33.9,1,Rex,0.0,5.6499999999999995
20,97.0,16,1,0,1,16,97.0,97.0,1,Rex,0.0,6.0625
21,107.3,20,1,0,1,20,107.3,107.3,1,Rex,0.0,5.365
22,32.8,6,1,0,1,6,32.8,32.8,1,Rex,0.0,5.466666666666666
23,33.2,7,1,0,1,7,33.2,33.2,1,Rex,0.0,4.742857142857143
24,48.099999999999994,11,1,0,1,11,48.099999999999994,48.099999999999994,1,Rex,0.0,4.372727272727272
25,57.900000000000006,10,1,0,1,10,57.900000000000006,57.900000000000006,1,Rex,0.0,5.790000000000001
26,32.1,9,1,0,1,9,32.1,32.1,1,Rex,0.0,3.566666666666667
27,25.4,6,1,0,1,6,25.4,25.4,1,Rex,0.0,4.233333333333333
28,100.4,18,1,0,1,18,100.4,100.4,1,Rex,0.0,5.577777777777778
29,23.6,7,1,0,1,7,23.6,23.6,1,Rex,0.0,3.3714285714285714
30,52.400000000000006,11,1,0,1,11,52.400000000000006,52.400000000000006,1,Rex,0.0,4.763636363636365
