SessionID,Experiment,Round,Step,Action,ConflictRegions,TimeTaken(s),action_type,region_ui,color_ui,region_zero_based,color_zero_based,started_regions,started_conflicts,attempt_id,attempt_total_step,attempt_recolor_step,conflict_region_count,max_attempt_id,is_final_attempt
Rex,experiment2,1,0,"Game Started (45 regions, 5 conflicts)",11 12 15 16 35 38 43 45,0.0,game_started,,,,,45,5,1,1,,8,1,True
Rex,experiment2,1,1,Recolored Region 45 to Color 3,11 12 16 35 43,21.1,recolor,45,3,44,2,,,1,2,1,5,1,True
Rex,experiment2,1,2,Recolored Region 43 to Color 2,11 12 16,5.6,recolor,43,2,42,1,,,1,3,2,3,1,True
Rex,experiment2,1,3,Recolored Region 12 to Color 4,1 12 33 40,3.3,recolor,12,4,11,3,,,1,4,3,4,1,True
Rex,experiment2,1,4,Recolored Region 12 to Color 3,9 12,21.2,recolor,12,3,11,2,,,1,5,4,2,1,True
Rex,experiment2,1,5,Recolored Region 9 to Color 2,9 11 39,3.5,recolor,9,2,8,1,,,1,6,5,3,1,True
Rex,experiment2,1,6,Recolored Region 9 to Color 3,9 12,16.3,recolor,9,3,8,2,,,1,7,6,2,1,True
Rex,experiment2,1,7,Recolored Region 11 to Color 4,9 10 11 12 40,15.5,recolor,11,4,10,3,,,1,8,7,5,1,True
Rex,experiment2,1,8,Recolored Region 11 to Color 2,9 12,2.8,recolor,11,2,10,1,,,1,9,8,2,1,True
Rex,experiment2,1,9,Recolored Region 12 to Color 4,1 12 33 40,18.0,recolor,12,4,11,3,,,1,10,9,4,1,True
Rex,experiment2,1,10,Recolored Region 12 to Color 1,12 27,14.5,recolor,12,1,11,0,,,1,11,10,2,1,True
Rex,experiment2,1,11,Recolored Region 21 to Color 3,5 8 12 21 27 45,11.1,recolor,21,3,20,2,,,1,12,11,6,1,True
Rex,experiment2,1,12,Recolored Region 21 to Color 4,12 27,5.5,recolor,21,4,20,3,,,1,13,12,2,1,True
Rex,experiment2,1,13,Recolored Region 27 to Color 3,27 45,4.6,recolor,27,3,26,2,,,1,14,13,2,1,True
Rex,experiment2,1,14,Recolored Region 45 to Color 4,21 45,3.0,recolor,45,4,44,3,,,1,15,14,2,1,True
Rex,experiment2,1,15,Recolored Region 21 to Color 1,14 21,5.5,recolor,21,1,20,0,,,1,16,15,2,1,True
Rex,experiment2,1,16,Recolored Region 21 to Color 4,21 45,3.5,recolor,21,4,20,3,,,1,17,16,2,1,True
Rex,experiment2,1,17,Recolored Region 21 to Color 1,14 21,2.0,recolor,21,1,20,0,,,1,18,17,2,1,True
Rex,experiment2,1,18,Recolored Region 14 to Color 2,14 36,4.2,recolor,14,2,13,1,,,1,19,18,2,1,True
Rex,experiment2,1,19,Recolored Region 14 to Color 4,14 26,7.6,recolor,14,4,13,3,,,1,20,19,2,1,True
Rex,experiment2,1,20,Recolored Region 26 to Color 2,26 36 43,6.2,recolor,26,2,25,1,,,1,21,20,3,1,True
Rex,experiment2,1,21,Recolored Region 43 to Color 4,26 36,3.7,recolor,43,4,42,3,,,1,22,21,2,1,True
Rex,experiment2,1,22,Recolored Region 36 to Color 1,36 41,11.4,recolor,36,1,35,0,,,1,23,22,2,1,True
Rex,experiment2,1,23,Recolored Region 41 to Color 4,,4.0,recolor,41,4,40,3,,,1,24,23,0,1,True
Rex,experiment2,2,24,"Game Started (45 regions, 4 conflicts)",6 11 16 23 25 27 39,0.0,game_started,,,,,45,4,1,1,,7,1,True
Rex,experiment2,2,25,Recolored Region 27 to Color 2,6 11 16 23 39,6.3,recolor,27,2,26,1,,,1,2,1,5,1,True
Rex,experiment2,2,26,Recolored Region 6 to Color 4,6 11 23 31,6.8,recolor,6,4,5,3,,,1,3,2,4,1,True
Rex,experiment2,2,27,Recolored Region 39 to Color 4,6 11 23 28 31 39,2.2,recolor,39,4,38,3,,,1,4,3,6,1,True
Rex,experiment2,2,28,Recolored Region 31 to Color 3,6 11 23 28 39,7.9,recolor,31,3,30,2,,,1,5,4,5,1,True
Rex,experiment2,2,29,Recolored Region 39 to Color 3,11 23,2.4,recolor,39,3,38,2,,,1,6,5,2,1,True
Rex,experiment2,2,30,Recolored Region 23 to Color 4,,3.9,recolor,23,4,22,3,,,1,7,6,0,1,True
Rex,experiment2,3,31,"Game Started (45 regions, 4 conflicts)",8 12 14 25 38 43 44,0.0,game_started,,,,,45,4,1,1,,7,1,True
Rex,experiment2,3,32,Recolored Region 44 to Color 4,12 14 25 43,6.6,recolor,44,4,43,3,,,1,2,1,4,1,True
Rex,experiment2,3,33,Recolored Region 14 to Color 3,25 43,5.0,recolor,14,3,13,2,,,1,3,2,2,1,True
Rex,experiment2,3,34,Recolored Region 43 to Color 2,12 43,13.8,recolor,43,2,42,1,,,1,4,3,2,1,True
Rex,experiment2,3,35,Recolored Region 12 to Color 1,10 12,5.9,recolor,12,1,11,0,,,1,5,4,2,1,True
Rex,experiment2,3,36,Recolored Region 10 to Color 2,5 10,12.1,recolor,10,2,9,1,,,1,6,5,2,1,True
Rex,experiment2,3,37,Recolored Region 5 to Color 3,,6.8,recolor,5,3,4,2,,,1,7,6,0,1,True
Rex,experiment2,4,38,"Game Started (45 regions, 6 conflicts)",8 9 10 23 37 39 40 42 43,0.0,game_started,,,,,45,6,1,1,,9,1,True
Rex,experiment2,4,39,Recolored Region 39 to Color 2,8 9 10 22 23 37 39 42 43,7.8,recolor,39,2,38,1,,,1,2,1,9,1,True
Rex,experiment2,4,40,Recolored Region 22 to Color 3,8 9 10 23 37 42 43,4.8,recolor,22,3,21,2,,,1,3,2,7,1,True
Rex,experiment2,4,41,Recolored Region 37 to Color 3,8 9 10 23 43,3.8,recolor,37,3,36,2,,,1,4,3,5,1,True
Rex,experiment2,4,42,Recolored Region 8 to Color 2,8 9 10 18 23 29 43,10.6,recolor,8,2,7,1,,,1,5,4,7,1,True
Rex,experiment2,4,43,Recolored Region 29 to Color 3,8 9 10 18 23 29 31 43,1.7,recolor,29,3,28,2,,,1,6,5,8,1,True
Rex,experiment2,4,44,Recolored Region 18 to Color 3,9 10 13 18 23 29 31 40 43,0.7,recolor,18,3,17,2,,,1,7,6,9,1,True
Rex,experiment2,4,45,Recolored Region 18 to Color 2,8 9 10 18 23 29 31 43,5.4,recolor,18,2,17,1,,,1,8,7,8,1,True
Rex,experiment2,4,46,Recolored Region 8 to Color 1,8 9 10 23 29 31 43,4.7,recolor,8,1,7,0,,,1,9,8,7,1,True
Rex,experiment2,4,47,Recolored Region 9 to Color 2,9 29 31 35,4.9,recolor,9,2,8,1,,,1,10,9,4,1,True
Rex,experiment2,4,48,Recolored Region 31 to Color 2,9 35,5.2,recolor,31,2,30,1,,,1,11,10,2,1,True
Rex,experiment2,4,49,Recolored Region 35 to Color 4,,3.4,recolor,35,4,34,3,,,1,12,11,0,1,True
Rex,experiment2,5,50,"Game Started (45 regions, 5 conflicts)",14 17 18 22 29 37 40 44,0.0,game_started,,,,,45,5,1,1,,8,1,True
Rex,experiment2,5,51,Recolored Region 17 to Color 4,14 16 17 22 29 37,2.5,recolor,17,4,16,3,,,1,2,1,6,1,True
Rex,experiment2,5,52,Recolored Region 17 to Color 3,14 22 29 37,2.5,recolor,17,3,16,2,,,1,3,2,4,1,True
Rex,experiment2,5,53,Recolored Region 29 to Color 4,14 37,4.1,recolor,29,4,28,3,,,1,4,3,2,1,True
Rex,experiment2,5,54,Recolored Region 14 to Color 4,1 14,8.6,recolor,14,4,13,3,,,1,5,4,2,1,True
Rex,experiment2,5,55,Recolored Region 1 to Color 2,,3.3,recolor,1,2,0,1,,,1,6,5,0,1,True
Rex,experiment2,6,56,"Game Started (45 regions, 7 conflicts)",6 15 20 27 30 32 34 36 37 43,0.0,game_started,,,,,45,7,1,1,,10,1,True
Rex,experiment2,6,57,Recolored Region 27 to Color 4,6 20 30 32 34 36 37,2.9,recolor,27,4,26,3,,,1,2,1,7,1,True
Rex,experiment2,6,58,Recolored Region 6 to Color 3,2 6 32 34 36 41,3.1,recolor,6,3,5,2,,,1,3,2,6,1,True
Rex,experiment2,6,59,Recolored Region 2 to Color 1,6 32 34 36 41,6.2,recolor,2,1,1,0,,,1,4,3,5,1,True
Rex,experiment2,6,60,Recolored Region 41 to Color 2,32 34 36 37 41,5.8,recolor,41,2,40,1,,,1,5,4,5,1,True
Rex,experiment2,6,61,Recolored Region 37 to Color 4,32 34 36,3.9,recolor,37,4,36,3,,,1,6,5,3,1,True
Rex,experiment2,6,62,Recolored Region 34 to Color 2,,4.1,recolor,34,2,33,1,,,1,7,6,0,1,True
Rex,experiment2,7,63,"Game Started (45 regions, 4 conflicts)",3 12 18 21 22 24 44,0.0,game_started,,,,,45,4,1,1,,7,1,True
Rex,experiment2,7,64,Recolored Region 18 to Color 3,18 21 22 24 31 44,2.8,recolor,18,3,17,2,,,1,2,1,6,1,True
Rex,experiment2,7,65,Recolored Region 44 to Color 1,18 21 24 31,7.2,recolor,44,1,43,0,,,1,3,2,4,1,True
Rex,experiment2,7,66,Recolored Region 31 to Color 4,15 21 24 31,6.9,recolor,31,4,30,3,,,1,4,3,4,1,True
Rex,experiment2,7,67,Recolored Region 15 to Color 3,21 24,1.3,recolor,15,3,14,2,,,1,5,4,2,1,True
Rex,experiment2,7,68,Recolored Region 21 to Color 2,,4.7,recolor,21,2,20,1,,,1,6,5,0,1,True
Rex,experiment2,8,69,"Game Started (45 regions, 4 conflicts)",10 18 19 20 32 33 34,0.0,game_started,,,,,45,4,1,1,,7,1,True
Rex,experiment2,8,70,Recolored Region 33 to Color 3,10 12 18 19 32 33 34,2.2,recolor,33,3,32,2,,,1,2,1,7,1,True
Rex,experiment2,8,71,Recolored Region 18 to Color 3,10 12 19 33,7.0,recolor,18,3,17,2,,,1,3,2,4,1,True
Rex,experiment2,8,72,Recolored Region 10 to Color 2,12 33,3.0,recolor,10,2,9,1,,,1,4,3,2,1,True
Rex,experiment2,8,73,Recolored Region 12 to Color 1,8 12 21,4.9,recolor,12,1,11,0,,,1,5,4,3,1,True
Rex,experiment2,8,74,Recolored Region 12 to Color 2,12 16 36,3.2,recolor,12,2,11,1,,,1,6,5,3,1,True
Rex,experiment2,8,75,Recolored Region 12 to Color 3,12 33,10.3,recolor,12,3,11,2,,,1,7,6,2,1,True
