agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,FlorenceYeoh,1,1,0,1,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 0 0 1,42,0,1,1,True
human,FlorenceYeoh,1,1,1,2,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 1,44,1,2,2,True
human,FlorenceYeoh,1,1,2,3,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,8,2,3,3,True
human,FlorenceYeoh,1,1,3,4,3 2 3 1 2 2 3 2 3 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,8,3,2,4,True
human,FlorenceYeoh,1,1,4,5,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,1,0,5,True
human,FlorenceYeoh,1,1,5,6,3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,26,0,2,6,True
human,FlorenceYeoh,1,1,6,7,3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 2 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,44,2,3,7,True
human,FlorenceYeoh,1,1,7,8,3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 2 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 3,20,3,0,8,True
human,FlorenceYeoh,1,1,8,9,3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 0 2 2 3 1 3 2 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 3,13,0,3,9,True
human,FlorenceYeoh,1,1,9,10,3 2 3 1 2 2 3 2 2 3 1 0 2 3 1 1 1 0 0 1 0 2 2 3 1 3 2 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 3,25,3,2,10,True
human,FlorenceYeoh,1,1,10,11,3 2 3 1 2 2 3 2 2 3 1 0 2 3 1 1 1 0 0 1 0 2 2 3 1 2 2 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 3,7,2,1,11,True
human,FlorenceYeoh,1,1,11,12,3 2 3 1 2 2 3 1 2 3 1 0 2 3 1 1 1 0 0 1 0 2 2 3 1 2 2 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 3,14,1,2,12,True
human,FlorenceYeoh,1,1,12,13,3 2 3 1 2 2 3 1 2 3 1 0 2 3 2 1 1 0 0 1 0 2 2 3 1 2 2 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 3,42,1,3,13,True
human,FlorenceYeoh,2,1,13,1,1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 0 0 0 0 3 1 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2,26,0,1,15,True
human,FlorenceYeoh,2,1,14,2,1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 0 0 0 1 3 1 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2,5,2,0,16,True
human,FlorenceYeoh,2,1,15,3,1 0 3 3 2 0 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 0 0 0 1 3 1 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2,23,0,1,17,True
human,FlorenceYeoh,2,1,16,4,1 0 3 3 2 0 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 1 0 0 1 3 1 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2,28,1,0,18,True
human,FlorenceYeoh,2,1,17,5,1 0 3 3 2 0 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 1 0 0 1 3 0 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2,33,0,2,19,True
human,FlorenceYeoh,2,1,18,6,1 0 3 3 2 0 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 1 0 0 1 3 0 3 3 2 0 2 2 3 0 2 2 1 1 3 2 2 2,22,1,0,20,True
human,FlorenceYeoh,3,1,19,1,0 3 0 3 1 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2,13,1,0,22,True
human,FlorenceYeoh,3,1,20,2,0 3 0 3 1 2 3 1 2 0 3 1 3 0 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2,13,0,2,23,True
human,FlorenceYeoh,3,1,21,3,0 3 0 3 1 2 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2,24,3,1,24,True
human,FlorenceYeoh,3,1,22,4,0 3 0 3 1 2 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 0 2 1 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2,41,1,0,25,True
human,FlorenceYeoh,3,1,23,5,0 3 0 3 1 2 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 0 2 1 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 0 3 1 2,41,0,2,26,True
human,FlorenceYeoh,3,1,24,6,0 3 0 3 1 2 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 0 2 1 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 2 3 1 2,5,2,0,27,True
human,FlorenceYeoh,3,1,25,7,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 0 2 1 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 2 3 1 2,22,0,2,28,True
human,FlorenceYeoh,3,1,26,8,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 1 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 2 3 1 2,35,0,1,29,True
human,FlorenceYeoh,3,1,27,9,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 1 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 3 1 2,24,1,3,30,True
human,FlorenceYeoh,3,1,28,10,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 3 1 2,42,3,0,31,True
human,FlorenceYeoh,3,1,29,11,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 0 1 2,44,2,0,32,True
human,FlorenceYeoh,3,1,30,12,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 0 1 0,38,0,1,33,True
human,FlorenceYeoh,3,1,31,13,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,17,1,3,34,True
