[Actions]
SessionID,Experiment,Round,Step,Action,ConflictRegions,TimeTaken(s)
fzm,experiment2,1,0,"Game Started (45 regions, 5 conflicts)","11 12 15 16 35 38 43 45",0.0
fzm,experiment2,1,1,"Recolored Region 12 to Color 1","12 15 27 35 38 43 45",21.2
fzm,experiment2,1,2,"Recolored Region 27 to Color 3","15 35 38 43 45",3.1
fzm,experiment2,1,3,"Recolored Region 35 to Color 3","8 15 35 38 45",23.1
fzm,experiment2,1,4,"Recolored Region 35 to Color 4","15 38 45",2.7
fzm,experiment2,1,5,"Recolored Region 45 to Color 1","",7.7
fzm,experiment2,2,6,"Game Started (45 regions, 4 conflicts)","6 11 16 23 25 27 39",0.0
fzm,experiment2,2,7,"Recolored Region 27 to Color 2","6 11 16 23 39",17.6
fzm,experiment2,2,8,"Recolored Region 6 to Color 4","6 11 23 31",9.9
fzm,experiment2,2,9,"Recolored Region 31 to Color 3","11 23",2.4
fzm,experiment2,2,10,"Recolored Region 23 to Color 4","",6.7
fzm,experiment2,3,11,"Game Started (45 regions, 4 conflicts)","8 12 14 25 38 43 44",0.0
fzm,experiment2,3,12,"Recolored Region 44 to Color 4","12 14 25 43",13.4
fzm,experiment2,3,13,"Recolored Region 25 to Color 3","12 14 25 40",15.3
fzm,experiment2,3,14,"Recolored Region 25 to Color 4","12 14 25 43",19.9
fzm,experiment2,3,15,"Recolored Region 25 to Color 2","12 14 25 42",4.5
fzm,experiment2,3,16,"Recolored Region 42 to Color 4","12 14 25",8.7
fzm,experiment2,3,17,"Recolored Region 14 to Color 3","",3.6
fzm,experiment2,4,18,"Game Started (45 regions, 6 conflicts)","8 9 10 23 37 39 40 42 43",0.0
fzm,experiment2,4,19,"Recolored Region 37 to Color 3","8 9 10 23 39 40 43",7.3
fzm,experiment2,4,20,"Recolored Region 40 to Color 1","8 9 10 23 43",4.3
fzm,experiment2,4,21,"Recolored Region 41 to Color 3","8 9 10 23 43",15.1
fzm,experiment2,4,22,"Recolored Region 9 to Color 4","",1.9
fzm,experiment2,5,23,"Game Started (45 regions, 5 conflicts)","14 17 18 22 29 37 40 44",0.0
fzm,experiment2,5,24,"Recolored Region 17 to Color 3","14 22 29 37",22.9
fzm,experiment2,5,25,"Recolored Region 29 to Color 4","14 37",3.2
fzm,experiment2,5,26,"Recolored Region 14 to Color 1","9 14 35",11.9
fzm,experiment2,5,27,"Recolored Region 14 to Color 2","14 37",5.3
fzm,experiment2,5,28,"Recolored Region 37 to Color 3","13 37",12.8
fzm,experiment2,5,29,"Recolored Region 13 to Color 2","2 13 36",2.8
fzm,experiment2,5,30,"Recolored Region 36 to Color 3","2 13",1.8
fzm,experiment2,5,31,"Recolored Region 2 to Color 4","",5.5
fzm,experiment2,6,32,"Game Started (45 regions, 7 conflicts)","6 15 20 27 30 32 34 36 37 43",0.0
fzm,experiment2,6,33,"Recolored Region 43 to Color 3","6 15 20 27 30 32 34 36 37",15.5
fzm,experiment2,6,34,"Recolored Region 27 to Color 4","6 20 30 32 34 36 37",9.2
fzm,experiment2,6,35,"Recolored Region 6 to Color 3","2 6 32 34 36 41",10.4
fzm,experiment2,6,36,"Recolored Region 2 to Color 1","6 32 34 36 41",3.9
fzm,experiment2,6,37,"Recolored Region 41 to Color 4","9 32 34 36 41",29.9
