[Actions]
SessionID,Round,NumRegions,Step,Action,TimeTaken(s)
zhangcheng,P1,10,0,"Game Started (10 regions)",0.0
zhangcheng,P1,10,1,"Colored Region 3 with Color 1",3.5
zhangcheng,P1,10,2,"Colored Region 5 with Color 1",6.6
zhangcheng,P1,10,3,"Colored Region 1 with Color 1",3.6
zhangcheng,P1,10,4,"Colored Region 6 with Color 1",1.1
zhangcheng,P1,10,5,"Colored Region 7 with Color 2",2.8
zhangcheng,P1,10,6,"Colored Region 2 with Color 2",1.4
zhangcheng,P1,10,7,"Colored Region 8 with Color 2",1.5
zhangcheng,P1,10,8,"Colored Region 4 with Color 2",1.3
zhangcheng,P1,10,9,"Colored Region 9 with Color 4",3.4
zhangcheng,P1,10,10,"Colored Region 10 with Color 3",2.6
zhangcheng,P2,10,11,"Game Started (10 regions)",0.0
zhangcheng,P2,10,12,"Colored Region 8 with Color 3",2.6
zhangcheng,P2,10,13,"Colored Region 10 with Color 3",3.2
zhangcheng,P2,10,14,"Colored Region 5 with Color 3",2.7
zhangcheng,P2,10,15,"Colored Region 3 with Color 3",1.4
zhangcheng,P2,10,16,"Colored Region 7 with Color 1",3.3
zhangcheng,P2,10,17,"Colored Region 6 with Color 1",1.4
zhangcheng,P2,10,18,"Colored Region 4 with Color 1",4.2
zhangcheng,P2,10,19,"Colored Region 2 with Color 2",3.6
zhangcheng,P2,10,20,"Colored Region 9 with Color 2",1.3
zhangcheng,P2,10,21,"Colored Region 1 with Color 4",2.2
zhangcheng,1,20,22,"Game Started (20 regions)",0.0
zhangcheng,1,20,23,"Colored Region 18 with Color 4",3.5
zhangcheng,1,20,24,"Colored Region 15 with Color 4",2.5
zhangcheng,1,20,25,"Colored Region 10 with Color 4",2.9
zhangcheng,1,20,26,"Colored Region 14 with Color 4",6.7
zhangcheng,1,20,27,"Colored Region 17 with Color 4",15.6
zhangcheng,1,20,28,"Colored Region 20 with Color 4",2.5
zhangcheng,1,20,29,"Colored Region 16 with Color 4",2.1
zhangcheng,1,20,30,"Colored Region 9 with Color 1",9.3
zhangcheng,1,20,31,"Colored Region 6 with Color 1",1.9
zhangcheng,1,20,32,"Colored Region 5 with Color 1",1.6
zhangcheng,1,20,33,"Colored Region 12 with Color 1",1.4
